grid size,level,time
5,1,0.007539987564086914
5,2,0.00057220458984375
5,3,0.0005850791931152344
5,4,0.0005729198455810547
5,5,0.0005559921264648438
5,6,0.0005671977996826172
5,7,0.00049591064453125
5,8,0.0005619525909423828
5,9,0.0004971027374267578
5,10,0.0005230903625488281
6,1,0.001512289047241211
6,2,0.0012078285217285156
6,3,0.0013821125030517578
6,4,0.0012617111206054688
6,5,0.0011169910430908203
6,6,0.00131988525390625
6,7,0.0009789466857910156
6,8,0.000978231430053711
6,9,0.0008668899536132812
6,10,0.0012040138244628906
7,1,0.0022270679473876953
7,2,0.0021162033081054688
7,3,0.0021066665649414062
7,4,0.0024330615997314453
7,5,0.001772165298461914
7,6,0.002682209014892578
7,7,0.0021238327026367188
7,8,0.007813215255737305
7,9,0.0028209686279296875
7,10,0.002264261245727539
8,1,0.003340005874633789
8,2,0.00395512580871582
8,3,0.0037229061126708984
8,4,0.004173994064331055
8,5,0.003094196319580078
8,6,0.003920793533325195
8,7,0.0032227039337158203
8,8,0.0037689208984375
8,9,0.009169816970825195
8,10,0.0035200119018554688
9,1,0.007469892501831055
9,2,0.006334066390991211
9,3,0.006345987319946289
9,4,0.008152246475219727
9,5,0.013974905014038086
9,6,0.008010149002075195
9,7,0.0073089599609375
9,8,0.005693912506103516
9,9,0.006008148193359375
9,10,0.007295846939086914
10,1,0.02079010009765625
10,2,0.012130975723266602
10,3,0.010045051574707031
10,4,0.01943802833557129
10,5,0.012717723846435547
10,6,0.013528108596801758
10,7,0.01755070686340332
10,8,0.011286020278930664
10,9,0.010587930679321289
10,10,0.010053873062133789
11,1,0.026946067810058594
11,2,0.01459193229675293
11,3,0.028676986694335938
11,4,0.022116899490356445
11,5,0.014286279678344727
11,6,0.026179790496826172
11,7,0.019760847091674805
11,8,0.02710103988647461
11,9,0.017290115356445312
11,10,0.01588892936706543
12,1,0.038526058197021484
12,2,0.03487515449523926
12,3,0.03163003921508789
12,4,0.037394046783447266
12,5,0.026221036911010742
12,6,0.03573417663574219
12,7,0.02390122413635254
12,8,0.035161733627319336
12,9,0.023921966552734375
12,10,0.036730051040649414
13,1,0.047714948654174805
13,2,0.05510663986206055
13,3,0.044409751892089844
13,4,0.06109189987182617
13,5,0.04725503921508789
13,6,0.04813814163208008
13,7,0.04024219512939453
13,8,0.04630923271179199
13,9,0.04941391944885254
13,10,0.04143476486206055
14,1,0.0768120288848877
14,2,0.09145212173461914
14,3,0.07696700096130371
14,4,0.06836295127868652
14,5,0.07642698287963867
14,6,0.18107199668884277
14,7,0.06939888000488281
14,8,0.08123493194580078
14,9,0.05326509475708008
14,10,0.08510732650756836
